opsCode,opsText,opsText_alt,Kombiprodukt,Substanzangabe_aus_OPS-Code,1Substanz_allg_engl_INN_oder_sonst,2Substanz_allg_engl_INN_oder_sonst,3Substanz_allg_engl_INN_oder_sonst,4Substanz_allg_engl_INN_oder_sonst,Einheit_Wert_min,Einheit_Wert_max,UCUM-Code,UCUM-Description,Kommentar SZ,Routes and Methods of Administration - Concept Code,Routes and Methods of Administration - Term,Administration Method - ID,Administration Method - Name,Code Intended Site (EDQM),Intended Site (EDQM),Routes and Methods of Administration - Concept Code.1,Routes and Methods of Administration - Term.1,Administration Method - ID.1,Administration Method - Name.1,Code Intended Site (EDQM).1,Intended Site (EDQM).1,EU-Zulassung? ,Strenght,Pharmaceutical Form,Packaging,Handelsname-Beispiel (Invented name),Kombi_ja_nein_beides,Substanzname_Stoffkatalog,Substanz_genau_Bezeichnung_engl,UNII_Substanz_genau,ASK_Substanz_genau,CAS_Substanz_genau,Subst_genau_gleich_Subst_allgemein,Substanz_allg_engl_INN_oder_sonst,INN_englisch,UNII_Substanz_allg,ASK_Substanz_allg,CAS_Substanz_allg,Substanzname_ATC_DIMDI-Liste,ATC-Code_y,ATC-Code2_y,ATC-Code3_y,ATC-Code4_y,ATC-Code5_y,Bemerkung_zur_Substanz
6-001.0a,Parenterale Applikation von 330 mg bis unter 390 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,330,390,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.0b,Parenterale Applikation von 390 mg bis unter 450 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,390,450,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.0c,Parenterale Applikation von 450 mg bis unter 510 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,450,510,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.0d,Parenterale Applikation von 510 mg bis unter 570 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,510,570,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.0e,Parenterale Applikation von 570 mg oder mehr Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,570,,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.19,"Parenterale Applikation von 19,0 g bis unter 22,0 g Gemcitabin",,0,Gemcitabin,gemcitabine,,,,"19,0","22,0",g,gram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,n,Gemcitabinhydrochlorid,gemcitabine hydrochloride,U347PV74IL,27608,122111-03-9,x,gemcitabine,gemcitabine,B76N6SBZ8R,26094,95058-81-4,Gemcitabin,L01BC05,,,,,
6-001.1a,"Parenterale Applikation von 22,0 g bis unter 25,0 g Gemcitabin",,0,Gemcitabin,gemcitabine,,,,"22,0","25,0",g,gram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,n,Gemcitabinhydrochlorid,gemcitabine hydrochloride,U347PV74IL,27608,122111-03-9,x,gemcitabine,gemcitabine,B76N6SBZ8R,26094,95058-81-4,Gemcitabin,L01BC05,,,,,
6-001.1b,"Parenterale Applikation von 25,0 g bis unter 28,0 g Gemcitabin",,0,Gemcitabin,gemcitabine,,,,"25,0","28,0",g,gram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,n,Gemcitabinhydrochlorid,gemcitabine hydrochloride,U347PV74IL,27608,122111-03-9,x,gemcitabine,gemcitabine,B76N6SBZ8R,26094,95058-81-4,Gemcitabin,L01BC05,,,,,
6-001.1c,"Parenterale Applikation von 28,0 g bis unter 31,0 g Gemcitabin",,0,Gemcitabin,gemcitabine,,,,"28,0","31,0",g,gram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,n,Gemcitabinhydrochlorid,gemcitabine hydrochloride,U347PV74IL,27608,122111-03-9,x,gemcitabine,gemcitabine,B76N6SBZ8R,26094,95058-81-4,Gemcitabin,L01BC05,,,,,
6-001.1d,"Parenterale Applikation von 31,0 g bis unter 34,0 g Gemcitabin",,0,Gemcitabin,gemcitabine,,,,"31,0","34,0",g,gram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,n,Gemcitabinhydrochlorid,gemcitabine hydrochloride,U347PV74IL,27608,122111-03-9,x,gemcitabine,gemcitabine,B76N6SBZ8R,26094,95058-81-4,Gemcitabin,L01BC05,,,,,
6-001.1e,"Parenterale Applikation von 34,0 g oder mehr Gemcitabin",,0,Gemcitabin,gemcitabine,,,,"34,0",,g,gram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,n,Gemcitabinhydrochlorid,gemcitabine hydrochloride,U347PV74IL,27608,122111-03-9,x,gemcitabine,gemcitabine,B76N6SBZ8R,26094,95058-81-4,Gemcitabin,L01BC05,,,,,
6-001.3d,Parenterale Applikation von 2.000 mg bis unter 2.200 mg Irinotecan,,0,Irinotecan,irinotecan,,,,2000,2200,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,,,,,,,,irinotecan,irinotecan,7673326042,,97682-44-5,Irinotecan,L01XX19,,,,,
6-001.3e,Parenterale Applikation von 2.200 mg bis unter 2.400 mg Irinotecan,,0,Irinotecan,irinotecan,,,,2200,2400,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,,,,,,,,irinotecan,irinotecan,7673326042,,97682-44-5,Irinotecan,L01XX19,,,,,
6-001.3f,Parenterale Applikation von 2.400 mg bis unter 2.600 mg Irinotecan,,0,Irinotecan,irinotecan,,,,2400,2600,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,,,,,,,,irinotecan,irinotecan,7673326042,,97682-44-5,Irinotecan,L01XX19,,,,,
6-001.3g,Parenterale Applikation von 2.600 mg bis unter 2.800 mg Irinotecan,,0,Irinotecan,irinotecan,,,,2600,2800,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,,,,,,,,irinotecan,irinotecan,7673326042,,97682-44-5,Irinotecan,L01XX19,,,,,
6-001.3h,Parenterale Applikation von 2.800 mg bis unter 3.000 mg Irinotecan,,0,Irinotecan,irinotecan,,,,2800,3000,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,,,,,,,,irinotecan,irinotecan,7673326042,,97682-44-5,Irinotecan,L01XX19,,,,,
6-001.3j,Parenterale Applikation von 3.000 mg oder mehr Irinotecan,,0,Irinotecan,irinotecan,,,,3000,,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,,,,,,,,,,,,,irinotecan,irinotecan,7673326042,,97682-44-5,Irinotecan,L01XX19,,,,,
6-001.40,Parenterale Applikation von 2 mg bis unter 3 mg Sargramostim,,0,Sargramostim,sargramostim,,,,2,3,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? Info fÃ¼r US-Zulassung),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.41,Parenterale Applikation von 3 mg bis unter 4 mg Sargramostim,,0,Sargramostim,sargramostim,,,,3,4,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.42,Parenterale Applikation von 4 mg bis unter 5 mg Sargramostim,,0,Sargramostim,sargramostim,,,,4,5,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.43,Parenterale Applikation von 5 mg bis unter 6 mg Sargramostim,,0,Sargramostim,sargramostim,,,,5,6,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.44,Parenterale Applikation von 6 mg bis unter 7 mg Sargramostim,,0,Sargramostim,sargramostim,,,,6,7,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.45,Parenterale Applikation von 7 mg bis unter 8 mg Sargramostim,,0,Sargramostim,sargramostim,,,,7,8,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.46,Parenterale Applikation von 8 mg bis unter 9 mg Sargramostim,,0,Sargramostim,sargramostim,,,,8,9,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.47,Parenterale Applikation von 9 mg bis unter 10 mg Sargramostim,,0,Sargramostim,sargramostim,,,,9,10,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.48,Parenterale Applikation von 10 mg bis unter 11 mg Sargramostim,,0,Sargramostim,sargramostim,,,,10,11,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.49,Parenterale Applikation von 11 mg bis unter 12 mg Sargramostim,,0,Sargramostim,sargramostim,,,,11,12,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4a,Parenterale Applikation von 12 mg bis unter 13 mg Sargramostim,,0,Sargramostim,sargramostim,,,,12,13,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4b,Parenterale Applikation von 13 mg bis unter 14 mg Sargramostim,,0,Sargramostim,sargramostim,,,,13,14,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4c,Parenterale Applikation von 14 mg bis unter 15 mg Sargramostim,,0,Sargramostim,sargramostim,,,,14,15,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4d,Parenterale Applikation von 15 mg bis unter 16 mg Sargramostim,,0,Sargramostim,sargramostim,,,,15,16,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4e,Parenterale Applikation von 16 mg bis unter 17 mg Sargramostim,,0,Sargramostim,sargramostim,,,,16,17,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4f,Parenterale Applikation von 17 mg bis unter 18 mg Sargramostim,,0,Sargramostim,sargramostim,,,,17,18,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4g,Parenterale Applikation von 18 mg bis unter 19 mg Sargramostim,,0,Sargramostim,sargramostim,,,,18,19,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4h,Parenterale Applikation von 19 mg bis unter 20 mg Sargramostim,,0,Sargramostim,sargramostim,,,,19,20,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4j,Parenterale Applikation von 20 mg bis unter 22 mg Sargramostim,,0,Sargramostim,sargramostim,,,,20,22,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4k,Parenterale Applikation von 22 mg bis unter 24 mg Sargramostim,,0,Sargramostim,sargramostim,,,,22,24,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4m,Parenterale Applikation von 24 mg bis unter 26 mg Sargramostim,,0,Sargramostim,sargramostim,,,,24,26,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4n,Parenterale Applikation von 26 mg bis unter 28 mg Sargramostim,,0,Sargramostim,sargramostim,,,,26,28,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4p,Parenterale Applikation von 28 mg bis unter 30 mg Sargramostim,,0,Sargramostim,sargramostim,,,,28,30,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.4q,Parenterale Applikation von 30 mg oder mehr Sargramostim,,0,Sargramostim,sargramostim,,,,30,,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national (nicht in EU? US),,injectable solution oder Lyophilized,vial,Leukine,n,Sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,,sargramostim,sargramostim,5TAA004E22,26697,123774-72-1,Sargramostim,L03AA09,,,,,
6-001.80,Parenterale Applikation von 45 Mio. IE bis unter 65 Mio. IE Aldesleukin,,0,Aldesleukin,aldesleukin,,,,45,65,10*6.[IU],million international unit,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,20066000,Subcutaneous use,AME-0011,Injection,ISI - 0033,Parenteral,national in D,,Pulver zur Herstellung einer Injektions- bzw. InfusionslÃ¶sung,,Proleukin ,n,Aldesleukin,aldesleukin,M89N0Q7EQR,23971,110942-02-4,,aldesleukin,aldesleukin,M89N0Q7EQR,23971,110942-02-4,Aldesleukin,L03AC01,,,,,
